구분,코드값,코드설명
문 B1_5A1 TO B1_5A8,8,기타
문 B2_1,1,동일함
문 B2_1,2,동일하지 않음
문 B2_3,1,20대(29세 이하)
문 B2_3,2,30대
문 B2_3,3,40대
문 B2_3,4,50대
문 B2_3,5,60대 이상
문 B2_6_1,1,대기업 등 타 기업의 분사 또는 계열사 형식으로 창업
문 B2_6_1,2,국가연구소 대학교 등에서 창업보육(BI) 과정을 거쳐 창업
문 B2_6_1,3,위에 해당하지 않는 방식으로 창업자가 독자적으로 창업
문 B2_6_2,1,창업자 단독창업
문 B2_6_2,2,공동 및 팀 창업
문 B2_6_4A1 TO B2_6_4A5,1,기술개발
문 B2_6_4A1 TO B2_6_4A5,2,영업.마케팅
문 B2_6_4A1 TO B2_6_4A5,3,관리
문 B2_6_4A1 TO B2_6_4A5,4,재무
문 B2_6_4A1 TO B2_6_4A5,5,기타
문 B2_7,1,국내
문 B2_7,2,해외
문 B2_7,3,국내+해외
문 B2_9,1,있음
문 B2_9,2,없음
문 C5_1,1,있다
문 C5_1,2,없다
문 C5_1_2,1,이미 상반기에 채용
문 C5_1_2,2,이미 규모 대비 인력 과잉상태이기 때문에
문 C5_1_2,3,매출 등 경영실적이 크게 개선되지 않아서
문 C5_1_2,4,경기가 크게 개선될 것 같지 않아서
문 C5_1_2,5,기타
문 C7A1 C7A2,1,생산기능 인력
문 C7A1 C7A2,2,인사 및 조직관리 인력
문 C7A1 C7A2,3,R&D 인력
문 C7A1 C7A2,4,재무관리 인력
문 C7A1 C7A2,5,영업 및 마케팅 인력
문 C7A1 C7A2,6,경영 기획 및 전략 인력
문 C7A1 C7A2,7,중간관리자급 인력
문 C7A1 C7A2,8,임원급 인력
문 D5,1,있다
문 D5,2,없다
문 D5_1_1A1 D5_1_2A1 D5_1_3A1,1,있다
문 D5_1_1A1 D5_1_2A1 D5_1_3A1,2,없다
문 D8_1,1,과거 활용
문 D8_1,2,과거 미활용
문 D8_2,1,현재 활용
문 D8_2,2,현재 미활용
문 D8_3,1,활용계획 있음
문 D8_3,2,활용할 계획 없음
문 D8_4,1,우수인력 유입
문 D8_4,2,핵심인력 이탈방지
문 D8_4,3,사기진작 및 인센티브 효과
문 D8_4,4,기업 경영성과 개선
문 D8_5,1,제도 활용에 관한 인식부족
문 D8_5,2,경기침체 및 벤처경기 쇠퇴
문 D8_5,3,불합리한 회계.세무 처리
문 D8_5,4,복잡한 제도 및 행정 절차
문 D8_5,5,횡령이나 배임 등 법률적 문제 야기 소지 내재
문 D8_5,6,비상장기업의 경우 성과보상 방식으로서의 Merit가 없음
문 D8_5,7,기타
문 E1,1,IT
문 E1,2,BT
문 E1,3,NT
문 E1,4,ET
문 E1,5,CT
문 E1,6,ST
문 E1,7,해당없음
문 E10,1,① 매우 부정적
문 E10,2,② 부정적
문 E10,3,③ 보통
문 E10,4,④ 긍정적
문 E10,5,⑤ 매우 긍정적
문 E3A1 TO E3A5,1,해외특허
문 E3A1 TO E3A5,2,해외유명규격
문 E3A1 TO E3A5,3,국제규격
문 E3A1 TO E3A5,4,기타
문 E3A1 TO E3A5,5,해외특허.국제규격 없음
문 E4,1,초기 개발단계
문 E4,2,시제품 개발단계
문 E4,3,제품화 또는 상용화 실현단계
문 E4,4,초기 시장진출단계
문 E4,5,시장확대단계
문 E5,1,하나의 대표 제품 또는 서비스에만 집중
문 E5,2,두 세개 정도의 제품 또는 서비스에 주력
문 E5,3,4개 이상 복수의 제품 및 서비스 다각화 추구
문 E6,1,세계 유일기술
문 E6,2,세계 최고수준과 동일
문 E6,3,약간 미흡
문 E6,4,미흡
문 E6,5,경쟁 열세
문 E7,1,국내 유일기술
문 E7,2,국내 최고수준과 동일
문 E7,3,약간 미흡
문 E7,4,미흡
문 E7,5,경쟁 열세
문 E8,1,기업부설연구소 보유
문 E8,2,부설연구소는 없지만 연구개발 전담부서 보유
문 E8,3,부설연구소나 전담부서는 없지만 연구개발 인력 보유
문 E8,4,부설연구소나 전담부서 연구개발 인력이 없음
문 E9_1 TO E9_6,1,① 매우 낮음
문 E9_1 TO E9_6,2,② 낮음
문 E9_1 TO E9_6,3,③ 보통
문 E9_1 TO E9_6,4,④ 높음
문 E9_1 TO E9_6,5,⑤ 매우 높음
문 F1_1 F1_2,1,있다
문 F1_1 F1_2,2,없다
문 F2,1,자체 유통망에 의한 직접 영업
문 F2,2,대리점이나 전문 유통기관을 통한 위탁영업
문 F2,3,직접영업과 위탁영업 병행
문 F2,4,기타
문 F4,1,있음
문 F4,2,없음
문 F4_1A1 TO F4_1A13 F6_1A1 TO F6_1A13 F6_2A1 TO F6_2A13,1,미국
문 F4_1A1 TO F4_1A13 F6_1A1 TO F6_1A13 F6_2A1 TO F6_2A13,2,일본
문 F4_1A1 TO F4_1A13 F6_1A1 TO F6_1A13 F6_2A1 TO F6_2A13,3,중국
문 F4_1A1 TO F4_1A13 F6_1A1 TO F6_1A13 F6_2A1 TO F6_2A13,4,러시아
문 F4_1A1 TO F4_1A13 F6_1A1 TO F6_1A13 F6_2A1 TO F6_2A13,5,동남아시아
문 F4_1A1 TO F4_1A13 F6_1A1 TO F6_1A13 F6_2A1 TO F6_2A13,6,유럽
문 F4_1A1 TO F4_1A13 F6_1A1 TO F6_1A13 F6_2A1 TO F6_2A13,7,중동
문 F4_1A1 TO F4_1A13 F6_1A1 TO F6_1A13 F6_2A1 TO F6_2A13,8,캐나다
문 F4_1A1 TO F4_1A13 F6_1A1 TO F6_1A13 F6_2A1 TO F6_2A13,9,중앙아시아
문 F4_1A1 TO F4_1A13 F6_1A1 TO F6_1A13 F6_2A1 TO F6_2A13,10,오세아니아
문 F4_1A1 TO F4_1A13 F6_1A1 TO F6_1A13 F6_2A1 TO F6_2A13,11,아프리카
문 F4_1A1 TO F4_1A13 F6_1A1 TO F6_1A13 F6_2A1 TO F6_2A13,12,남아메리카
문 F4_1A1 TO F4_1A13 F6_1A1 TO F6_1A13 F6_2A1 TO F6_2A13,13,기타
문 F5,1,직접수출
문 F5,2,간접수출
문 F5,3,직접수출+간접수출
문 F5,4,수출없음
문 F5_1,1,예
문 F5_1,2,아니오
문 F7A1 F7A2,1,기술력 부족
문 F7A1 F7A2,2,무역 전문인력 부족
문 F7A1 F7A2,3,시장정보 부족
문 F7A1 F7A2,4,해외진출 필요자금의 부족
문 F7A1 F7A2,5,수출관련 절차적 규제 부담
문 F7A1 F7A2,6,언어 장벽
문 F7A1 F7A2,7,현지시장 규격 및 인증 획득의 어려움
문 F7A1 F7A2,8,기업 신인도 부족
문 F7A1 F7A2,9,기타
문 G1_1 G1_2 G1_3 G1_4 G1_5 G1_6,1,있다
문 G1_1 G1_2 G1_3 G1_4 G1_5 G1_6,2,없다
문 G1_1A1 TO G1_1A13 G1_2A1 TO G1_2A13 G1_3A1 TO G1_3A13 G1_4A1 TO G1_4A13 G1_5A1 TO G1_5A13 G1_6A1 TO G1_6A13,1,마케팅/판로/유통
문 G1_1A1 TO G1_1A13 G1_2A1 TO G1_2A13 G1_3A1 TO G1_3A13 G1_4A1 TO G1_4A13 G1_5A1 TO G1_5A13 G1_6A1 TO G1_6A13,2,공동 기술.연구개발
문 G1_1A1 TO G1_1A13 G1_2A1 TO G1_2A13 G1_3A1 TO G1_3A13 G1_4A1 TO G1_4A13 G1_5A1 TO G1_5A13 G1_6A1 TO G1_6A13,3,교육훈련 인력상호 교류
문 G1_1A1 TO G1_1A13 G1_2A1 TO G1_2A13 G1_3A1 TO G1_3A13 G1_4A1 TO G1_4A13 G1_5A1 TO G1_5A13 G1_6A1 TO G1_6A13,4,생산
문 G1_1A1 TO G1_1A13 G1_2A1 TO G1_2A13 G1_3A1 TO G1_3A13 G1_4A1 TO G1_4A13 G1_5A1 TO G1_5A13 G1_6A1 TO G1_6A13,5,자금
문 G1_1A1 TO G1_1A13 G1_2A1 TO G1_2A13 G1_3A1 TO G1_3A13 G1_4A1 TO G1_4A13 G1_5A1 TO G1_5A13 G1_6A1 TO G1_6A13,6,브랜드
문 G1_1A1 TO G1_1A13 G1_2A1 TO G1_2A13 G1_3A1 TO G1_3A13 G1_4A1 TO G1_4A13 G1_5A1 TO G1_5A13 G1_6A1 TO G1_6A13,7,디자인
문 G1_1A1 TO G1_1A13 G1_2A1 TO G1_2A13 G1_3A1 TO G1_3A13 G1_4A1 TO G1_4A13 G1_5A1 TO G1_5A13 G1_6A1 TO G1_6A13,8,경영지원
문 G1_1A1 TO G1_1A13 G1_2A1 TO G1_2A13 G1_3A1 TO G1_3A13 G1_4A1 TO G1_4A13 G1_5A1 TO G1_5A13 G1_6A1 TO G1_6A13,9,연구개발시설 및 장비 상호이용
문 G1_1A1 TO G1_1A13 G1_2A1 TO G1_2A13 G1_3A1 TO G1_3A13 G1_4A1 TO G1_4A13 G1_5A1 TO G1_5A13 G1_6A1 TO G1_6A13,10,기술지도
문 G1_1A1 TO G1_1A13 G1_2A1 TO G1_2A13 G1_3A1 TO G1_3A13 G1_4A1 TO G1_4A13 G1_5A1 TO G1_5A13 G1_6A1 TO G1_6A13,11,해외진출
문 G1_1A1 TO G1_1A13 G1_2A1 TO G1_2A13 G1_3A1 TO G1_3A13 G1_4A1 TO G1_4A13 G1_5A1 TO G1_5A13 G1_6A1 TO G1_6A13,12,신제품 공동개발
문 G1_1A1 TO G1_1A13 G1_2A1 TO G1_2A13 G1_3A1 TO G1_3A13 G1_4A1 TO G1_4A13 G1_5A1 TO G1_5A13 G1_6A1 TO G1_6A13,13,기타
문 G1_1B G1_2B G1_3B G1_4B G1_5B G1_6B,1,① 전혀 도움 안됨
문 G1_1B G1_2B G1_3B G1_4B G1_5B G1_6B,2,② 별로 도움 안됨
문 G1_1B G1_2B G1_3B G1_4B G1_5B G1_6B,3,③ 보통
문 G1_1B G1_2B G1_3B G1_4B G1_5B G1_6B,4,④ 어느 정도 도움됨
문 G1_1B G1_2B G1_3B G1_4B G1_5B G1_6B,5,⑤ 매우 도움됨
문 G2_1 G2_2 G2_3 G2_4 G2_5 G2_6,1,협력 희망
문 G2_1 G2_2 G2_3 G2_4 G2_5 G2_6,2,협력 비희망
문 H1,1,예
문 H1,2,아니오
문 H2,1,이미 투자를 받은 상태
문 H2,2,투자유치 협상을 현재 진행중인 상태
문 H2,3,과거 투자유치에 실패한 상태
문 H2,4,투자 경험 없음
문 H2_1,1,자금투자 외에는 거의 역할이 없었음
문 H2_1,2,자금투자 외에 벤처기업 경영에 일정부분 역할 담당
문 H2_2_1 H2_2_2 H2_2_3 H2_2_4 H2_2_5 H2_2_6 H2_2_7 H2_2_8,1,있다
문 H2_2_1 H2_2_2 H2_2_3 H2_2_4 H2_2_5 H2_2_6 H2_2_7 H2_2_8,2,없다
문 H2_2_1A H2_2_2A H2_2_3A H2_2_4A H2_2_5A H2_2_6A H2_2_7A H2_2_8A,1,① 전혀 도움이 안됨
문 H2_2_1A H2_2_2A H2_2_3A H2_2_4A H2_2_5A H2_2_6A H2_2_7A H2_2_8A,2,② 별로 도움이 안됨
문 H2_2_1A H2_2_2A H2_2_3A H2_2_4A H2_2_5A H2_2_6A H2_2_7A H2_2_8A,3,③ 보통
문 H2_2_1A H2_2_2A H2_2_3A H2_2_4A H2_2_5A H2_2_6A H2_2_7A H2_2_8A,4,④ 다소 도움이 됨
문 H2_2_1A H2_2_2A H2_2_3A H2_2_4A H2_2_5A H2_2_6A H2_2_7A H2_2_8A,5,⑤ 큰 도움이 됨
문 H3,1,경험 있음
문 H3,2,경험 없음
문 H3_1A1 H3_1A2,1,규모의 경제 달성
문 H3_1A1 H3_1A2,2,기술 및 인력 확보
문 H3_1A1 H3_1A2,3,신규사업 진입
문 H3_1A1 H3_1A2,4,시장지배력 확대
문 H3_1A1 H3_1A2,5,자산 구조조정
문 H3_1A1 H3_1A2,6,우회등록
문 H3_1A1 H3_1A2,7,자금경색 해소
문 H3_1A1 H3_1A2,8,기타
문 H4,1,전혀 고려하고 있지 않다
문 H4,2,고려는 하고 있지만 구체적인 계획은 아직 없다
문 H4,3,구체적인 계획을 준비하고 있는 상태이다
문 H4,4,이미 추진 중에 있다
문 H4_1,1,동종업종의 벤처기업/혁신형 중소기업과의 인수합병
문 H4_1,2,他 업종의 벤처기업/혁신형 중소기업과의 인수합병
문 H4_1,3,동종업종의 대기업 또는 중견기업과의 인수합병
문 H4_1,4,他 업종의 대기업 또는 중견기업과의 인수합병
문 H4_1,5,해외 외국계 기업과의 인수합병
문 H4_1,6,기타
문 H5A1 H5A2,1,M&A 전문가 및 중개기관 육성
문 H5A1 H5A2,2,M&A 매물 정보의 질적/양적 확대
문 H5A1 H5A2,3,기업 가치에 대한 신뢰할 만한 평가시스템 구축
문 H5A1 H5A2,4,M&A 절차 간소화
문 H5A1 H5A2,5,'내 기업이어야 한다'는 기업가의 인식 변화
문 H5A1 H5A2,6,M&A에 대한 부정적 시각 개선
문 I1_1 I1_2 I1_3 I1_4,1,인상
문 I1_1 I1_2 I1_3 I1_4,2,동일
문 I1_1 I1_2 I1_3 I1_4,3,인하
문 I3_1 I3_2 I3_3 I3_4,1,있음
문 I3_1 I3_2 I3_3 I3_4,2,없음
문 I3_1A I3_2A I3_3A I3_4A,1,① 전혀 비심각
문 I3_1A I3_2A I3_3A I3_4A,2,② 별로 비심각
문 I3_1A I3_2A I3_3A I3_4A,3,③ 보통
문 I3_1A I3_2A I3_3A I3_4A,4,④ 다소 심각
문 I3_1A I3_2A I3_3A I3_4A,5,⑤ 매우 심각
문 I4A1 I4A2,1,구두 발주 및 취소
문 I4A1 I4A2,2,기술 및 원가정산 자료 요구
문 I4A1 I4A2,3,기술 도용
문 I4A1 I4A2,4,부당한 납품대금 감액
문 I4A1 I4A2,5,인력 유출
문 I4A1 I4A2,6,납품대금 지연에 따른 이자 미지급
문 I4A1 I4A2,7,검사 및 검사결과 미통보
문 I4A1 I4A2,8,낮은 납품 단가 
문 I4A1 I4A2,9,불투명하고 불공정한 거래관행
문 I4A1 I4A2,10,과도한 접대 요구
문 I4A1 I4A2,11,부당한 물품 등의 강제 구매
문 I4A1 I4A2,12,부당한 대물변제 행위
문 I4A1 I4A2,13,납품대금 60일 이내 지급의무 위반
문 J1_1 J1_2 J1_3,1,예
문 J1_1 J1_2 J1_3,2,아니오
문 J1_1A J1_2A J1_3A,1,자체 해결
문 J1_1A J1_2A J1_3A,2,외부 도움
문 J2_1 TO J2_7,1,① 전혀 효과가 없다
문 J2_1 TO J2_7,2,② 효과가 적은 편이다
문 J2_1 TO J2_7,3,③ 그저 그렇다
문 J2_1 TO J2_7,4,④ 효과가 있는 편이다
문 J2_1 TO J2_7,5,⑤ 매우 큰 효과가 있다
문 J3_1 TO J3_12,1,① 매우 취약
문 J3_1 TO J3_12,2,② 취약
문 J3_1 TO J3_12,3,③ 보통
문 J3_1 TO J3_12,4,④ 양호
문 J3_1 TO J3_12,5,⑤ 매우 양호
문 J4,1,① 전혀 비적극적
문 J4,2,② 비적극적
문 J4,3,③ 보통
문 J4,4,④ 적극적
문 J4,5,⑤ 매우 적극적
문 J5,1,자체 교육
문 J5,2,외부.위탁 교육
문 J5,3,자체 + 외부.위탁 교육
문 J5,4,전혀 없음
문 J6A1 TO J6A11,1,CEO 및 임원 교육
문 J6A1 TO J6A11,2,산업 트렌드 교육
문 J6A1 TO J6A11,3,기술사업화 교육
문 J6A1 TO J6A11,4,인사/조직관리 교육
문 J6A1 TO J6A11,5,영업/마케팅 교육
문 J6A1 TO J6A11,6,유통/물류관리 교육
문 J6A1 TO J6A11,7,재무관리 교육
문 J6A1 TO J6A11,8,생산/품질관리 교육
문 J6A1 TO J6A11,9,신입사원 역량강화 교육
문 J6A1 TO J6A11,10,중간관리자 교육훈련
문 J6A1 TO J6A11,11,기타
문 J7A1 TO J7A7,1,물질 기부/기증
문 J7A1 TO J7A7,2,재능 기부
문 J7A1 TO J7A7,3,윤리/투명 경영
문 J7A1 TO J7A7,4,공익연계 마케팅 활동
문 J7A1 TO J7A7,5,지역사회 봉사활동
문 J7A1 TO J7A7,6,후원 활동
문 J7A1 TO J7A7,7,없음
문 J8_1 TO J8_15,1,① 전혀 그렇지 않다
문 J8_1 TO J8_15,2,② 대체로 그렇지 않다
문 J8_1 TO J8_15,3,③ 보통이다
문 J8_1 TO J8_15,4,④ 대체로 그렇다
문 J8_1 TO J8_15,5,⑤ 매우 그렇다.
문 PART,1,인사.총무
문 PART,2,재무.회계
문 PART,3,기획
문 PART,4,홍보
문 PART,5,마케팅.영업
문 PART,6,자재구매
문 PART,7,연구개발
문 PART,8,기타
문 POSITION,1,대표이사
문 POSITION,2,임원
문 POSITION,3,부장.차장.과장
문 POSITION,4,대리.주임.사원.
문 QT1,1,서울/인천/경기
문 QT1,2,대전/세종/충청/강원
문 QT1,3,부산/경남/울산
문 QT1,4,대구/경북
문 QT1,5,광주/전라/제주
문 QT2,1,에너지/의료/정밀
문 QT2,2,컴퓨터/반도체/전자부품
문 QT2,3,통신기기/방송기기
문 QT2,4,음식료/섬유/(비)금속
문 QT2,5,기계/제조/자동차
문 QT2,6,소프트웨어개발
문 QT2,7,정보통신/방송서비스
문 QT2,8,기타
문 QT3,1,1~9인
문 QT3,2,10~29인
문 QT3,3,30~49인
문 QT3,4,50~99인
문 QT3,5,100인 이상.
