구분,코드값,코드설명
B2-6-2. 공동 창업 여부,1, 창업자 단독창업
B2-6-2. 공동 창업 여부,2, 공동 및 팀 창업
B2-7. 창업 당시 귀사의 목표,1, 국내시장
B2-7. 창업 당시 귀사의 목표,2, 해외시장
B2-7. 창업 당시 귀사의 목표,3, 국내시장+해외시장
B2_9. 창업주의 과거 창업 경험 여부,1, 있음
B2_9. 창업주의 과거 창업 경험 여부,2, 없음
C4-1. 신규 인력수요_채용 의사,1, 있다
C4-1. 신규 인력수요_채용 의사,2, 없다
C4-1-2. 신규인력 채용 계획이 없는 주요 이유,1, 이미 상반기에 채용
C4-1-2. 신규인력 채용 계획이 없는 주요 이유,2, 이미 규모 대비 인력 과잉상태이기 때문에
C4-1-2. 신규인력 채용 계획이 없는 주요 이유,3, 매출 등 경영실적이 크게 개선되지 않아서
C4-1-2. 신규인력 채용 계획이 없는 주요 이유,4, 경기가 크게 개선될 것 같지 않아서
C4-1-2. 신규인력 채용 계획이 없는 주요 이유,5, 기타
C6. 직무/직급별 구인 난이도,1,매우 쉽게 구할 수 있다
C6. 직무/직급별 구인 난이도,2,쉽게 구할 수 있는 편이다
C6. 직무/직급별 구인 난이도,3,중간 정도이다
C6. 직무/직급별 구인 난이도,4,구하기 쉽지 않다
C6. 직무/직급별 구인 난이도,5,매우 구하기 어렵다
C7. 평균 연봉의 동종업계 대비 수준,1,매우 낮음
C7. 평균 연봉의 동종업계 대비 수준,2,다소 낮음
C7. 평균 연봉의 동종업계 대비 수준,3,보통
C7. 평균 연봉의 동종업계 대비 수준,4,다소 높음
C7. 평균 연봉의 동종업계 대비 수준,5,매우 높음
D5. 정부의 정책지원 경험 여부,1, 있다
D5. 정부의 정책지원 경험 여부,2, 없다
E1. 주력제품과 관련성이 가장 큰 기술,1, IT
E1. 주력제품과 관련성이 가장 큰 기술,2, BT
E1. 주력제품과 관련성이 가장 큰 기술,3, NT
E1. 주력제품과 관련성이 가장 큰 기술,4, ET
E1. 주력제품과 관련성이 가장 큰 기술,5, CT
E1. 주력제품과 관련성이 가장 큰 기술,6, ST
E1. 주력제품과 관련성이 가장 큰 기술,7, 이외 기술
E3. 획득하고 있는 해외특허나 국제규격,1, 해외특허
E3. 획득하고 있는 해외특허나 국제규격,2, 해외유명규격
E3. 획득하고 있는 해외특허나 국제규격,3, 국제규격
E3. 획득하고 있는 해외특허나 국제규격,4, 기타
E3. 획득하고 있는 해외특허나 국제규격,5, 해외특허.국제규격 없음
E4. 주력제품이나 서비스의 개발단계,1, 초기 개발단계
E4. 주력제품이나 서비스의 개발단계,2, 시제품 개발단계
E4. 주력제품이나 서비스의 개발단계,3, 제품화 또는 상용화 실현단계
E4. 주력제품이나 서비스의 개발단계,4, 초기 시장진출단계
E4. 주력제품이나 서비스의 개발단계,5, 시장확대단계
E5. 주력제품이나 서비스의 기술력 수준(세계 최고수준 기업의 기술력과 비교),1, 세계 유일기술
E5. 주력제품이나 서비스의 기술력 수준(세계 최고수준 기업의 기술력과 비교),2, 세계 최고수준과 동일
E5. 주력제품이나 서비스의 기술력 수준(세계 최고수준 기업의 기술력과 비교),3, 약간 미흡
E5. 주력제품이나 서비스의 기술력 수준(세계 최고수준 기업의 기술력과 비교),4, 미흡
E5. 주력제품이나 서비스의 기술력 수준(세계 최고수준 기업의 기술력과 비교),5, 경쟁 열세
E6. 주력제품이나 서비스의 기술력 수준(국내 최고수준 기업의 기술력과 비교),1, 국내 유일기술
E6. 주력제품이나 서비스의 기술력 수준(국내 최고수준 기업의 기술력과 비교),2, 국내 최고수준과 동일
E6. 주력제품이나 서비스의 기술력 수준(국내 최고수준 기업의 기술력과 비교),3, 약간 미흡
E6. 주력제품이나 서비스의 기술력 수준(국내 최고수준 기업의 기술력과 비교),4, 미흡
E6. 주력제품이나 서비스의 기술력 수준(국내 최고수준 기업의 기술력과 비교),5, 경쟁 열세
E7. 기술수준을 판단한 주요 근거,1, 학회나 관련 세미나·전람회 참여 등을 통해 확인
E7. 기술수준을 판단한 주요 근거,2, 관련 경쟁기업 신제품 등 체계적인 시장조사를 통해 확인
E7. 기술수준을 판단한 주요 근거,3, 관련분야 전문가나 기술자 등 인적 네트워크를 통해 확인
E7. 기술수준을 판단한 주요 근거,4, 기타
E8. 자체 연구개발 관련 기술연구소나 연구개발 전담부서 보유 현황,1, 기업부설연구소 보유
E8. 자체 연구개발 관련 기술연구소나 연구개발 전담부서 보유 현황,2," 부설연구소는 없지만, 연구개발 전담부서 보유"
E8. 자체 연구개발 관련 기술연구소나 연구개발 전담부서 보유 현황,3," 부설연구소나 전담부서는 없지만, 연구개발 인력 보유"
E8. 자체 연구개발 관련 기술연구소나 연구개발 전담부서 보유 현황,4," 부설연구소나 전담부서, 연구개발 인력이 없음"
F1-1. 자사브랜드 보유 여부,1, 있다
F1-1. 자사브랜드 보유 여부,2, 없다
F1-2. 공동브랜드 보유 여부,1, 있다
F1-2. 공동브랜드 보유 여부,2, 없다
F3. 영업 및 마케팅 방식,1, 자체 유통망에 의한 직접 영업
F3. 영업 및 마케팅 방식,2, 대리점이나 전문 유통기관을 통한 위탁영업
F3. 영업 및 마케팅 방식,3, 직접영업과 위탁영업 병행
F3. 영업 및 마케팅 방식,4, 기타
F5. 해외진출 및 해외수출 여부,1, 직접 진출만 하고 있음
F5. 해외진출 및 해외수출 여부,2, 직접진출과 단순수출 병행
F5. 해외진출 및 해외수출 여부,3, 단순수출만 하고 있음
F5. 해외진출 및 해외수출 여부,4, 해당사항 없음(내수)
F6. 해외진출 및 단순수출 지역,1, 미국
F6. 해외진출 및 단순수출 지역,2, 일본
F6. 해외진출 및 단순수출 지역,3, 중국
F6. 해외진출 및 단순수출 지역,4, 러시아
F6. 해외진출 및 단순수출 지역,5, 동남아시아
F6. 해외진출 및 단순수출 지역,6, 유럽
F6. 해외진출 및 단순수출 지역,7, 중동
F6. 해외진출 및 단순수출 지역,8, 캐나다
F6. 해외진출 및 단순수출 지역,9, 중앙아시아
F6. 해외진출 및 단순수출 지역,10, 오세아니아
F6. 해외진출 및 단순수출 지역,11, 아프리카
F6. 해외진출 및 단순수출 지역,12, 남미
F6. 해외진출 및 단순수출 지역,13, 기타
F7. 해외시장 진출과정에서 느끼는 가장 큰 애로사항,1, 기술력 부족
F7. 해외시장 진출과정에서 느끼는 가장 큰 애로사항,2, 무역 전문인력 부족
F7. 해외시장 진출과정에서 느끼는 가장 큰 애로사항,3, 시장정보 부족
F7. 해외시장 진출과정에서 느끼는 가장 큰 애로사항,4, 해외진출 필요자금의 부족
F7. 해외시장 진출과정에서 느끼는 가장 큰 애로사항,5, 수출관련 절차적 규제 부담
F7. 해외시장 진출과정에서 느끼는 가장 큰 애로사항,6, 언어 장벽
F7. 해외시장 진출과정에서 느끼는 가장 큰 애로사항,7, 현지시장 규격 및 인증 획득의 어려움
F7. 해외시장 진출과정에서 느끼는 가장 큰 애로사항,8, 기업 신인도 부족
F7. 해외시장 진출과정에서 느끼는 가장 큰 애로사항,9, 기타
G1. 제품 및 서비스 구조 형태,1, 하나의 대표 제품 또는 서비스에만 집중
G1. 제품 및 서비스 구조 형태,2, 두 세개 정도의 제품 또는 서비스에 주력
G1. 제품 및 서비스 구조 형태,3, 4개 이상 복수의 제품 및 서비스 다각화 추구
G3. 주력 제품 특징,1,전혀 그렇지 않다
G3. 주력 제품 특징,2,대체로 그렇지 않다
G3. 주력 제품 특징,3,보통이다
G3. 주력 제품 특징,4,대체로 그렇다
G3. 주력 제품 특징,5,매우 그렇다
G4-1. 경쟁력 수준: 매출목표 대비 달성 정도,1,큰 폭의 목표 미달
G4-1. 경쟁력 수준: 매출목표 대비 달성 정도,2,소폭의 목표 미달
G4-1. 경쟁력 수준: 매출목표 대비 달성 정도,3,목표 달성
G4-1. 경쟁력 수준: 매출목표 대비 달성 정도,4,소폭의 초과 달성
G4-1. 경쟁력 수준: 매출목표 대비 달성 정도,5,큰 폭의 초과 달성
G4-2. 경쟁력 수준: 제품의 경쟁력 수준,1,매우 낮음
G4-2. 경쟁력 수준: 제품의 경쟁력 수준,2,낮음
G4-2. 경쟁력 수준: 제품의 경쟁력 수준,3,보통
G4-2. 경쟁력 수준: 제품의 경쟁력 수준,4,높음
G4-2. 경쟁력 수준: 제품의 경쟁력 수준,5,매우 높음
G4-3. 경쟁력 수준: 장기적인 성장 전망,1,매우 부정적
G4-3. 경쟁력 수준: 장기적인 성장 전망,2,부정적
G4-3. 경쟁력 수준: 장기적인 성장 전망,3,보통
G4-3. 경쟁력 수준: 장기적인 성장 전망,4,긍정적
G4-3. 경쟁력 수준: 장기적인 성장 전망,5,매우 긍정적
H1. 제휴 및 협력활동 경험 여부,1, 있다
H1. 제휴 및 협력활동 경험 여부,2, 없다
H1. 제휴 및 협력활동 유형,1, 마케팅/판로/유통
H1. 제휴 및 협력활동 유형,2, 공동 기술.연구개발
H1. 제휴 및 협력활동 유형,3, 교육훈련.인력상호 교류
H1. 제휴 및 협력활동 유형,4, 생산
H1. 제휴 및 협력활동 유형,5, 자금
H1. 제휴 및 협력활동 유형,6, 브랜드
H1. 제휴 및 협력활동 유형,7, 디자인
H1. 제휴 및 협력활동 유형,8, 경영지원
H1. 제휴 및 협력활동 유형,9, 연구개발시설 및 장비 상호이용
H1. 제휴 및 협력활동 유형,10, 기술지도
H1. 제휴 및 협력활동 유형,11, 해외진출
H1. 제휴 및 협력활동 유형,12, 신제품 공동개발
H1. 제휴 및 협력활동 유형,13, 기타
H1. 제휴 및 협력활동 도움정도,1,전혀 도움 안됨
H1. 제휴 및 협력활동 도움정도,2,별로 도움 안됨
H1. 제휴 및 협력활동 도움정도,3,보통
H1. 제휴 및 협력활동 도움정도,4,어느 정도 도움됨
H1. 제휴 및 협력활동 도움정도,5,매우 도움됨
I1. 벤처캐피탈 투자 경험 여부,1, 이미 투자를 받은 상태
I1. 벤처캐피탈 투자 경험 여부,2, 투자유치 협상을 현재 진행중인 상태
I1. 벤처캐피탈 투자 경험 여부,3, 과거 투자유치에 실패한 상태
I1. 벤처캐피탈 투자 경험 여부,4, 투자 경험 없음
I1-1. 투자한 벤처캐피탈의 역할,1, 자금투자 외에는 거의 역할이 없었음
I1-1. 투자한 벤처캐피탈의 역할,2, 자금투자 외에 벤처기업 경영에 일정부분 역할 담당
I1-2. 벤처캐피탈 도움 여부,1, 있다
I1-2. 벤처캐피탈 도움 여부,2, 없다
I1-2. 벤처캐피탈 도움 정도,1,전혀 도움이 안됨
I1-2. 벤처캐피탈 도움 정도,2,별로 도움이 안됨
I1-2. 벤처캐피탈 도움 정도,3,보통
I1-2. 벤처캐피탈 도움 정도,4,다소 도움이 됨
I1-2. 벤처캐피탈 도움 정도,5,큰 도움이 됨
I2. 인수합병(M&A) 경험 여부,1, 인수합병 경험
I2. 인수합병(M&A) 경험 여부,2, 피인수합병 경험
I2. 인수합병(M&A) 경험 여부,3, 경험 없음
I2-1. 인수합병(M&A) 목적,1, 규모의 경제 달성
I2-1. 인수합병(M&A) 목적,2, 기술 및 인력 확보
I2-1. 인수합병(M&A) 목적,3, 신규사업 진입
I2-1. 인수합병(M&A) 목적,4, 시장지배력 확대
I2-1. 인수합병(M&A) 목적,5, 자산 구조조정
I2-1. 인수합병(M&A) 목적,6, 우회등록
I2-1. 인수합병(M&A) 목적,7, 자금경색 해소
I2-1. 피인수합병(M&A) 이유,1, 경영성과의 악화
I2-1. 피인수합병(M&A) 이유,2, 미래 불투명
I2-1. 피인수합병(M&A) 이유,3, 상장 대체 수단으로 선택
I2-1. 피인수합병(M&A) 이유,4, 신사업 진출을 목적으로
I2-1. 피인수합병(M&A) 이유,5, 상속을 목적으로
I2-1. 피인수합병(M&A) 이유,6,기타
I3. 현재 타기업과의 인수합병(M&A) 고려 여부,1, 전혀 고려하고 있지 않다
I3. 현재 타기업과의 인수합병(M&A) 고려 여부,2," 고려는 하고 있지만, 구체적인 계획은 아직 없다"
I3. 현재 타기업과의 인수합병(M&A) 고려 여부,3, 구체적인 계획을 준비하고 있는 상태이다
I3. 현재 타기업과의 인수합병(M&A) 고려 여부,4, 이미 추진 중에 있다
I3-1. 현재 고려 중인 인수합병(M&A) 형태,1, 동종업종의 벤처기업/혁신형 중소기업과의 인수합병
I3-1. 현재 고려 중인 인수합병(M&A) 형태,2, 他 업종의 벤처기업/혁신형 중소기업과의 인수합병
I3-1. 현재 고려 중인 인수합병(M&A) 형태,3, 동종업종의 대기업 또는 중견기업과의 인수합병
I3-1. 현재 고려 중인 인수합병(M&A) 형태,4, 他 업종의 대기업 또는 중견기업과의 인수합병
I3-1. 현재 고려 중인 인수합병(M&A) 형태,5, 해외 외국계 기업과의 인수합병
I3-1. 현재 고려 중인 인수합병(M&A) 형태,6, 기타
I4. 현재 자사 기업매각 고려 여부,1, 전혀 고려하고 있지 않다
I4. 현재 자사 기업매각 고려 여부,2," 고려는 하고 있지만, 구체적인 계획은 아직 없다"
I4. 현재 자사 기업매각 고려 여부,3, 구체적인 계획을 준비하고 있는 상태이다
I4. 현재 자사 기업매각 고려 여부,4, 이미 추진 중에 있다
I5. 벤처기업의 M&A환경 개선을 위해 꼭 필요한 것,1, M&A 전문가 및 중개기관 육성
I5. 벤처기업의 M&A환경 개선을 위해 꼭 필요한 것,2, M&A 매물 정보의 질적/양적 확대
I5. 벤처기업의 M&A환경 개선을 위해 꼭 필요한 것,3, 기업 가치에 대한 신뢰할 만한 평가시스템 구축
I5. 벤처기업의 M&A환경 개선을 위해 꼭 필요한 것,4, M&A 절차 간소화
I5. 벤처기업의 M&A환경 개선을 위해 꼭 필요한 것,5, 내 기업이어야 한다는 기업주의 인식 변화
I5. 벤처기업의 M&A환경 개선을 위해 꼭 필요한 것,6, M&A에 대한 부정적 시각 개선
J1. 2011년 대비 2012년 납품 단가,1, 인상
J1. 2011년 대비 2012년 납품 단가,2, 동일
J1. 2011년 대비 2012년 납품 단가,3, 인하
J3. 불공정거래 여부,1, 있음
J3. 불공정거래 여부,2, 없음
J3. 불공정거래 심각성 정도,1,전혀 비심각
J3. 불공정거래 심각성 정도,2,별로 비심각
J3. 불공정거래 심각성 정도,3,보통
J3. 불공정거래 심각성 정도,4,다소 심각
J3. 불공정거래 심각성 정도,5,매우 심각
J4-1. 기업간 거래 애로사항,1,아주 가끔 발생
J4-1. 기업간 거래 애로사항,2,가끔 발생
J4-1. 기업간 거래 애로사항,3,보통
J4-1. 기업간 거래 애로사항,4,자주 발생
J4-1. 기업간 거래 애로사항,5,매우 자주 발생
K1-1. 이노비즈(Inno-Biz) 인증제도 해당 여부,1, 예
K1-1. 이노비즈(Inno-Biz) 인증제도 해당 여부,2, 아니오
K1-2. 경영혁신(Main-Biz) 인증제도 해당 여부,1, 예
K1-2. 경영혁신(Main-Biz) 인증제도 해당 여부,2, 아니오
K2. 벤처확인제도 효과,1,전혀 효과가 없다
K2. 벤처확인제도 효과,2,효과가 적은 편이다
K2. 벤처확인제도 효과,3,그저 그렇다
K2. 벤처확인제도 효과,4,효과가 있는 편이다
K2. 벤처확인제도 효과,5,매우 큰 효과가 있다
K3. 현재 가장 필요로 하는 교육,1, CEO 및 임원 리더십 교육
K3. 현재 가장 필요로 하는 교육,2, 산업 트렌드 및 기술 관련 교육
K3. 현재 가장 필요로 하는 교육,3, 기술사업화 교육
K3. 현재 가장 필요로 하는 교육,4, 인사/조직관리 교육
K3. 현재 가장 필요로 하는 교육,5, 영업/마케팅 교육
K3. 현재 가장 필요로 하는 교육,6, 유통/물류관리 교육
K3. 현재 가장 필요로 하는 교육,7, 재무관리 교육
K3. 현재 가장 필요로 하는 교육,8, 생산/품질관리 교육
K3. 현재 가장 필요로 하는 교육,9, 신입사원 역량강화 교육
K3. 현재 가장 필요로 하는 교육,10, 중간관리자 교육훈련
K3. 현재 가장 필요로 하는 교육,11, 기타
K4. 경영상 애로사항,1,전혀 그렇지 않다
K4. 경영상 애로사항,2,대체로 그렇지 않다
K4. 경영상 애로사항,3,보통이다
K4. 경영상 애로사항,4,대체로 그렇다
K4. 경영상 애로사항,5,매우 그렇다.
