가중치,벤처확인 유형,회사주소_시(도),한국표준산업분류(KSIC)코드_10차,창업년도,기업성장단계,제조 및 비제조,상장여부 및 향후계획,대표이사_이전근무지,대표이사_창업자여부,창업자 성별,창업 당시 창업자 연령,창업 당시 창업자 최종학력,창업 직전 근무지,창업방식,단독창업 여부,창업 당시 목표시장,창업 당시 창업자 실무경험 년수(년),창업자 과거창업 경험 여부,정규직합계,비정규직합계,인력구성(관리),인력구성(생산),인력구성(영업),인력구성(RnD),인력구성(기타),인력구성(합계),학력별 인력구성비(전문대졸),학력별 인력구성비(대졸),학력별 인력구성비(석사),학력별 인력구성비(박사),현재 구인하기 어려운 직무(1순위),현재 구인하기 어려운 직무(2순위),지분구조(퍼센트)_창업자,지분구조(퍼센트)_임직원,지분구조(퍼센트)_벤처캐피털 및 기관투자자,지분구조(퍼센트)_개인투자자,매출구조비율(대기업),매출구조비율(12차벤더),매출구조비율(중소기업),매출구조비율(B2C),매출구조비율(B2G),매출구조비율(글로벌),융자(정책)_경험여부,투자액(국내설비),투자액(R&D),투자액(해외),투자액(기타),투자액(합계),스톡옵션상황,등록보유(특허권),등록보유(실용신안권),등록보유(디자인권),등록보유(상표권),등록보유(해외산업재산권),등록보유(합계),출원중(특허권),출원중(실용신안권),출원중(디자인권),출원중(상표권),출원중(해외산업재산권),출원중(합계),제품및서비스구조,기술력수준비교(세계),기술력수준비교(국내),연구개발관련전담부서보유여부,장기적성장전망성,자체브랜드보유여부,영업및마케팅방식,주력제품 국내 시장점유율(퍼센트),주력제품 해외 시장점유율(퍼센트),해외수출 및 진출과정 애로사항(1순위),해외수출 및 진출과정 애로사항(2순위),엔젤투자자 혹은 액셀러레이터 투자 경험여부,벤처캐피털(투자조합포함) 투자 경험여부,인수합병(MnA) 경험여부,인수합병 고려 여부,인수합병 환경개선을 위한 필요사항(1순위),인수합병 환경개선을 위한 필요사항(2순위),기업간 거래시 애로사항(1순위),벤처확인제도 혜택_기술개발 촉진효과,벤처확인제도 혜택_기업 이미지 제고 등 광고효과,벤처확인제도 혜택_자금조달 및 투자 유인효과,벤처확인제도 혜택_세제혜택 효과,벤처확인제도 혜택_정부지원제도 참여에 유리,벤처확인제도 혜택_우수인력 확보에 유리,현재 벤처인프라 수준_인수합병(MnA) 활성화를 위한 제도개선,현재 벤처인프라 수준_벤처관련 규제완화,현재 벤처인프라 수준_창업 및 기업가적 능력개발을 위한 교육,현재 벤처인프라 수준_기업가정신을 고취하는 사회분위기,실천하고있는사회적책임,경영상 애로사항_신기술 개발,경영상 애로사항_개발된 기술의 사업화,경영상 애로사항_국내 판로개척,경영상 애로사항_해외시장 개척,경영상 애로사항_필요인력의 확보 및 유지관리,경영상 애로사항_자금조달_운용 등 자금관리,경영상 애로사항_기술유출 및 디자인_상표 도용,경영상 애로사항_업계내의 과당경쟁 및 덤핑,경영상 애로사항_법률_회계_세무 관련 지식부족,경영상 애로사항_조직관리,경영상 애로사항_환율변동,경영상 애로사항_특허분쟁,경영상 애로사항_각종규제,경영상 애로사항_산-학-연 간 협력활동,경영상 애로사항_불공정한 시장질서,학력별 인력구성비(고졸이하),총종사자합계,부채비율,자기자본비율,순이익률,총자산회전율,자기자본회전율,ROE,영업이익률,이자보상배율,종사자생산성,지분구조(퍼센트)_엔젤 및 액셀러레이터,지분구조(퍼센트)_가족,전공과 업종 일치 여부,학력별 인력구성_합계
4.935,1,경남,C10121,2010,3,1,5,6,1,1,3,3,6,3,1.0,1,18,1,81.0,0.0,6.0,64.0,7.0,4.0,0.0,81.0,10.0,20.0,0.0,0.0,1,5,49.3,25.7,0.0,25.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,246.0,40.0,0.0,0.0,286.0,2,2,0,0,0,0,2,0,0,0,0,0,0,1,5,4,1,3,2,3,0.01,0.0,1,5,2,4,2,1,2,4,1,3,4,4,4,3,3,3,4,4,2,6.0,5,5,4,4,4,4,4,3,3,3,2,2,3,3.0,3,70.0,81.0,376.935,20.967,1.25,223.241,1064.718,13.306,1.617,168.11,32598.765,0.0,0.0,2,100.0
4.935,2,강원,C10121,2012,2,1,5,6,1,1,3,3,6,3,1.0,1,15,2,63.0,0.0,5.0,50.0,0.0,4.0,4.0,63.0,12.0,12.0,0.0,0.0,1,7,80.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,312.0,184.0,0.0,0.0,496.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2,4,2,1,0.5,0.0,2,3,2,4,2,1,2,5,1,3,4,3,4,3,3,3,3,3,3,3.0,4,4,3,4,4,3,4,3,3,3,3,3,3,3.0,3,76.0,63.0,612.335,14.038,0.464,304.817,2171.317,10.083,1.215,326.667,70412.698,20.0,0.0,2,100.0
10.705,2,강원,C10121,2012,2,1,5,6,1,1,3,3,6,3,1.0,1,15,2,40.0,1.0,5.0,32.0,2.0,2.0,0.0,41,12.0,6.0,0.0,0.0,1,2,92.0,8.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,"1,042",80,0.0,0,"1,122",2,2,0,0,0,0,2,0,0,0,0,0,0,1,3,3,2,4,2,1,10.0,0.0,1,4,2,4,2,1,5,3,6,3,3,2,2,3,2,3,3,4,4,,4,4,4,3,3,5,4,4,3,3,2,2,2,2.0,3,82.0,41.0,798.958,11.124,0.385,244.58,2198.668,8.454,1.043,129.412,92612.195,0.0,0.0,2,100.0
9.106,2,경남,C10121,2010,3,1,5,9,1,1,4,3,9,3,1.0,1,10,1,45.0,0.0,5.0,35.0,4.0,4.0,0.0,48.0,20.0,20.0,0.0,0.0,1,5,49.0,51.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,485.0,57.0,0.0,0.0,542.0,2,2,0,0,0,0,2,0,0,0,0,0,0,1,3,3,1,3,2,3,0.01,0.0,5,1,2,4,2,1,3,4,1,3,4,4,4,3,4,3,2,3,3,6.0,5,5,4,3,4,4,4,4,3,3,2,2,4,3.0,3,60.0,45.0,322.419,23.673,2.432,270.689,1143.442,27.814,3.559,408.879,54631.111,0.0,0.0,2,100.0
9.106,2,충남,C10121,2014,3,1,5,5,2,1,4,5,6,3,2.0,1,20,2,45.0,0.0,12.0,34.0,3.0,0.0,0.0,49.0,0.0,8.0,0.0,0.0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,39.0,0.0,0.0,0.0,39.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,2,3,20.0,0.0,1,2,2,4,2,1,1,6,1,4,4,4,4,4,4,3,3,3,3,3.0,4,3,5,3,5,3,2,4,2,4,1,1,3,2.0,3,92.0,45.0,-843.043,-13.458,-10.176,266.384,-1979.348,201.413,-9.533,-1165.101,40466.667,100.0,0.0,2,100.0
5.597,2,충북,C10121,2013,3,1,4,6,1,1,2,5,6,3,1.0,1,13,2,56.0,4.0,9.0,46.0,1.0,2.0,2.0,60,4.0,10.0,1.0,0.0,1,5,100.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,2.0,100,0,0.0,0,100,2,3,0,0,0,0,3,0,0,0,0,0,0,3,2,2,1,5,1,3,0.01,0.0,2,5,2,4,2,1,3,4,8,5,3,5,5,5,3,3,3,3,4,,2,2,4,4,5,3,3,3,2,3,2,2,4,2.0,3,85.0,60.0,326.228,23.462,3.637,232.537,991.139,36.051,4.521,494.413,32625.0,0.0,0.0,2,100.0
4.935,1,광주,C10129,2011,3,1,5,6,1,1,3,3,6,3,1.0,1,15,1,88.0,0.0,18.0,61.0,4.0,0.0,5.0,88.0,28.0,14.0,0.0,0.0,1,6,50.0,0.0,0.0,0.0,40.0,0.0,60.0,0.0,0.0,0.0,1.0,270.0,33.0,0.0,1800.0,2103.0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,4,3,2,1,10.0,0.0,8,7,2,4,2,1,3,4,6,3,4,3,3,3,3,2,2,3,2,6.0,4,4,4,3,4,5,4,3,3,3,2,2,3,2.0,2,58.0,88.0,125.114,44.422,10.68,172.857,389.125,41.559,11.941,966.008,23259.091,0.0,50.0,1,100.0
4.342,2,경기,C10129,2011,4,1,5,6,1,1,3,5,6,3,1.0,3,20,1,65.0,0.0,5.0,53.0,3.0,2.0,2.0,65.0,10.0,14.0,2.0,2.0,1,5,50.9,0.0,0.0,0.0,55.0,0.0,45.0,0.0,0.0,0.0,2.0,110.0,46.0,0.0,0.0,156.0,2,2,0,0,0,0,2,0,0,0,0,0,0,3,3,2,1,4,1,1,3.0,0.0,2,4,2,4,2,1,2,3,4,3,4,3,3,2,3,3,2,2,2,1.0,5,5,5,5,5,5,3,4,3,2,3,2,4,4.0,3,72.0,65.0,244.809,29.002,0.934,658.954,2272.131,21.212,1.178,1382.051,70366.154,12.7,36.4,2,100.0
48.561,2,강원,C10129,2013,2,2,5,6,1,1,4,3,6,3,1.0,1,20,2,9.0,0.0,1.0,5.0,2.0,0.0,1.0,9,20.0,50.0,0.0,0.0,1,5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.0,42,540,0.0,0,582,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,4,1,1,0.01,0.0,1,2,2,4,2,1,2,4,8,3,3,3,3,4,4,3,2,3,3,1.0,4,4,4,5,4,4,5,4,3,2,1,3,3,4.0,4,30.0,9.0,260.086,27.771,5.125,348.868,1256.223,64.378,4.373,1600.0,32522.222,0.0,0.0,2,100.0
4.342,2,충남,C10129,2005,3,1,5,6,1,1,3,2,6,3,1.0,3,7,1,84.0,0.0,8.0,74.0,1.0,5.0,0.0,88.0,8.0,24.0,3.0,0.0,3,1,0.0,40.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,233.0,90.0,0.0,0.0,323.0,2,9,0,0,4,0,13,0,0,0,0,0,0,3,3,2,1,4,1,1,2.0,0.0,2,7,2,4,2,2,2,3,2,4,4,3,4,3,3,2,3,3,3,7.0,3,4,4,4,3,3,2,3,3,4,3,2,3,3.0,4,65.0,84.0,783.896,11.314,1.823,79.336,701.251,12.786,6.005,196.447,15344.048,0.0,60.0,1,100.0
5.597,1,제주,C10129,2006,3,1,5,9,1,1,2,4,9,3,1.0,1,12,1,55.0,0.0,11.0,35.0,6.0,3.0,0.0,55,60.0,20.0,0.0,0.0,4,5,45.0,0.0,0.0,0.0,20.0,0.0,30.0,50.0,0.0,0.0,1.0,0,200,0.0,0,200,2,2,0,0,2,0,4,0,0,0,0,0,0,3,4,3,1,4,1,1,0.01,0.0,2,1,2,4,2,1,3,1,1,4,4,4,5,4,3,3,3,3,3,,3,3,5,4,4,3,2,3,4,3,2,2,4,3.0,2,20.0,55.0,248.064,28.73,3.564,207.449,722.057,25.733,3.32,276.126,33569.091,0.0,55.0,1,100.0
2.614,2,인천,C10129,1997,4,1,5,9,1,1,2,5,9,3,1.0,1,10,1,205.0,0.0,35.0,154.0,8.0,8.0,0.0,205.0,22.0,20.0,3.0,0.0,1,3,50.0,41.0,0.0,0.0,61.0,0.0,0.0,39.0,0.0,0.0,2.0,236.0,143.0,0.0,0.0,379.0,2,4,0,9,34,0,47,1,0,0,0,0,1,2,3,3,1,3,1,1,0.05,0.0,2,4,2,4,2,1,4,6,1,2,3,4,3,3,3,2,3,4,4,7.0,5,4,3,3,3,2,3,3,4,2,2,2,2,4.0,4,55.0,205.0,344.214,22.512,1.297,307.301,1365.072,17.709,1.499,425.728,28540.0,9.0,0.0,2,100.0
2.259,2,인천,C10129,1997,4,1,5,9,1,1,2,5,9,3,1.0,1,10,1,161.0,0.0,15.0,109.0,7.0,6.0,0.0,137.0,22.0,20.0,3.0,0.0,1,3,50.0,41.0,0.0,0.0,61.0,0.0,0.0,39.0,0.0,0.0,2.0,236.0,143.0,0.0,0.0,379.0,2,1,0,9,34,0,44,0,0,0,0,0,0,2,5,4,1,3,1,1,0.05,0.0,2,4,2,4,2,1,4,6,1,2,3,4,3,3,3,2,3,4,4,7.0,5,4,3,3,3,2,3,3,4,3,2,2,2,4.0,4,55.0,161.0,257.972,27.935,0.936,319.758,1144.645,10.709,0.865,228.571,29874.534,9.0,0.0,2,100.0
27.175,2,강원,C10129,2013,3,2,5,6,1,1,4,3,6,3,1.0,1,20,2,13.0,0.0,1.0,9.0,2.0,0.0,2.0,14.0,20.0,50.0,0.0,0.0,1,5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.0,26.0,0.0,0.0,0.0,26.0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,4,1,1,0.01,0.0,2,5,2,4,2,1,2,1,8,3,4,3,3,2,3,3,2,3,2,6.0,3,4,3,3,2,3,4,3,2,3,3,2,3,3.0,4,30.0,13.0,284.958,25.977,5.735,155.476,598.517,34.322,4.602,1857.143,21730.769,0.0,0.0,2,100.0
48.561,2,경기,C10129,2007,2,2,5,7,2,1,3,3,7,3,2.0,1,20,2,7.0,2.0,1.0,5.0,0.0,1.0,2.0,9,0.0,25.0,0.0,0.0,1,5,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,30,124,0.0,0,154,2,1,0,0,0,1,2,0,0,0,0,0,0,2,3,3,2,3,2,3,0.01,0.0,4,2,2,4,2,1,3,6,9,3,4,3,2,4,3,2,3,2,4,6.0,4,3,4,5,4,3,3,3,3,3,3,2,3,3.0,4,75.0,9.0,304.362,24.73,1.831,173.208,700.388,12.827,3.543,292.015,240855.556,40.0,10.0,1,100.0
28.615,2,강원,C10129,2013,2,2,5,6,1,1,4,3,6,3,1.0,1,20,2,15.0,0.0,4.0,9.0,2.0,0.0,0.0,15.0,20.0,50.0,0.0,0.0,3,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,26.0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,4,4,1,1,0.1,0.0,2,1,2,4,2,1,2,3,6,4,4,3,4,4,3,3,3,4,2,7.0,3,2,3,3,4,3,4,3,2,3,3,4,3,2.0,3,30.0,15.0,245.699,28.927,3.767,136.236,470.968,17.742,1.027,245.455,17520.0,0.0,0.0,2,100.0
4.342,2,충남,C10129,2001,4,2,5,6,1,1,2,3,6,3,1.0,1,6,2,100.0,0.0,8.0,39.0,5.0,4.0,0.0,56.0,20.0,47.0,3.0,0.0,3,5,80.0,0.0,0.0,0.0,60.0,0.0,40.0,0.0,0.0,0.0,2.0,7.0,63.0,0.0,0.0,70.0,2,1,0,0,3,0,4,0,0,0,0,0,0,3,3,2,1,4,1,3,5.0,0.0,5,3,2,4,2,1,2,3,6,3,3,4,3,4,3,4,2,3,3,3.0,5,4,3,3,5,5,4,3,3,2,3,3,4,3.0,4,30.0,100.0,711.956,12.316,0.656,103.239,838.259,5.5,5.888,195.825,17528.0,0.0,20.0,2,100.0
2.259,2,대전,C10129,2001,3,1,5,10,1,2,3,3,10,3,1.0,3,0,2,116.0,0.0,10.0,118.0,10.0,2.0,0.0,140.0,6.2,15.3,0.0,0.0,3,5,0.0,46.0,0.0,0.0,0.0,30.0,70.0,0.0,0.0,0.0,2.0,292.0,70.0,0.0,0.0,362.0,2,2,0,0,2,0,4,0,0,0,0,0,0,2,3,2,1,4,1,1,5.0,0.0,3,5,2,4,2,1,2,3,2,4,3,3,4,4,3,3,2,3,3,6.0,3,3,2,3,4,4,3,2,3,3,3,3,3,4.0,3,78.5,116.0,157.451,38.842,3.201,89.308,229.925,7.359,3.97,312.892,19500.0,32.0,22.0,2,100.0
2.958,2,인천,C10129,1999,4,1,5,6,1,1,3,2,6,3,1.0,3,5,2,204.0,0.0,30.0,132.0,10.0,10.0,22.0,204,12.0,46.0,0.0,0.0,1,3,62.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,0,300,0.0,0,300,2,0,0,0,0,0,0,2,0,0,0,0,2,2,3,2,1,4,2,1,30.0,0.0,2,3,2,4,2,1,1,3,8,4,4,3,4,5,4,3,4,3,4,2.0,4,4,3,4,4,3,4,4,2,3,3,4,5,4.0,4,42.0,204.0,373.947,21.099,2.107,211.484,1002.322,21.124,3.034,291.484,17142.647,0.0,38.0,1,100.0
50.082,1,경기,C10129,2007,3,4,5,9,1,2,2,3,9,3,1.0,1,7,1,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0,5,7,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,3,2,1,1.0,0.0,7,8,2,4,2,1,1,2,6,4,3,4,4,4,3,3,4,4,3,7.0,3,4,4,4,4,3,4,3,3,3,2,2,2,2.0,2,0.0,2.0,219.385,31.31,1.634,124.579,397.885,6.502,2.794,267.227,1138150.0,0.0,0.0,2,100.0
